experiment,start_time,dataset,fold,test_accuracy,test_accuracy_dt,test_accuracy_dt_pruned,test_accuracy_cm,data_dir,temperature,layer_type,aggregation_mode,nonlinearity,evaluation_nonlinearity,concept_embedding_size,concept_temperature,a,dropout,use_batch_norm,hidden_units,state_size,num_layers,skip_connection,bounding_parameter,batch_size,device,train_decision_tree,max_leaf_nodes,learning_rate,max_epochs,num_cv,entropy_loss_scaling,early_stopping,loss_mode,num_recurrent_iterations,teacher_max_epochs,train_concept_model,student_layer_type,student_aggregation_mode,concept_memory_disjunctions
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,2,0.9980000257492065,,,0.9980000257492065,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,3,1.0,,,0.9980000257492065,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,4,1.0,,,1.0,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,5,1.0,,,1.0,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,6,0.9959999918937683,,,0.9879999756813049,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,7,1.0,,,1.0,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,8,1.0,,,0.9480000138282776,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Infection,9,0.9990000128746033,,,0.9879999756813049,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,6,5,True,10,128,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Saturation,0,1.0,,,1.0,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,3,1,True,10,1,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
Student Teacher Training Stone Age to bronze_age_comparison on deep-concept-reasoner,03_04_25_09_26,Saturation,1,1.0,,,1.0,downloads,1.0,mlp,stone_age,gumbel_softmax,differentiable_argmax,256,0.5,10.0,0.0,True,16,3,1,True,10,1,cpu,False,100,0.01,1500,10,0.0,True,cross_entropy,1,30,True,deep-concept-reasoner,bronze_age_comparison,4
